stabbr,year,qtr,hpi,date,pch
US,1975,1,59.83,1975-01-01,NA
US,1975,2,61.09,1975-04-01,NA
US,1975,3,61.23,1975-07-01,NA
US,1975,4,62.26,1975-10-01,NA
US,1976,1,62.9,1976-01-01,5.131205081063015
US,1976,2,65.48,1976-04-01,7.186118841054181
US,1976,3,66.55,1976-07-01,8.688551363710602
US,1976,4,67.26,1976-10-01,8.030838419531008
US,1977,1,69.43,1977-01-01,10.381558028616865
US,1977,2,72.64,1977-04-01,10.934636530238222
US,1977,3,74.34,1977-07-01,11.705484598046596
US,1977,4,77.21,1977-10-01,14.793339280404382
US,1978,1,79.57,1978-01-01,14.604637764655038
US,1978,2,82.74,1978-04-01,13.904185022026411
US,1978,3,85.21,1978-07-01,14.622006994888338
US,1978,4,87.43,1978-10-01,13.236627379873099
US,1979,1,91.38,1979-01-01,14.842277240165885
US,1979,2,94.37,1979-04-01,14.0560792845057
US,1979,3,96.38,1979-07-01,13.108790048116418
US,1979,4,98.27,1979-10-01,12.398490220748016
US,1980,1,100,1980-01-01,9.4331363536879
US,1980,2,101.57,1980-04-01,7.629543287061551
US,1980,3,104.5,1980-07-01,8.424984436605115
US,1980,4,104.77,1980-10-01,6.614429632644757
US,1981,1,105.32,1981-01-01,5.319999999999993
US,1981,2,107.44,1981-04-01,5.779265531160775
US,1981,3,109.23,1981-07-01,4.526315789473685
US,1981,4,109.15,1981-10-01,4.180586045623741
US,1982,1,110.95,1982-01-01,5.3456133687808745
US,1982,2,111.9,1982-04-01,4.151154132539105
US,1982,3,110.84,1982-07-01,1.473954041929872
US,1982,4,112.22,1982-10-01,2.8126431516261903
US,1983,1,114.24,1983-01-01,2.965299684542572
US,1983,2,115.43,1983-04-01,3.154602323503127
US,1983,3,116.4,1983-07-01,5.016239624684232
US,1983,4,117.06,1983-10-01,4.312956692211728
US,1984,1,118.82,1984-01-01,4.009103641456591
US,1984,2,120.37,1984-04-01,4.279650004331643
US,1984,3,121.48,1984-07-01,4.3642611683848855
US,1984,4,122.47,1984-10-01,4.621561592345813
US,1985,1,124.21,1985-01-01,4.536273354654099
US,1985,2,126.09,1985-04-01,4.752014621583456
US,1985,3,128.06,1985-07-01,5.416529469871591
US,1985,4,129.47,1985-10-01,5.715685473993631
US,1986,1,131.97,1986-01-01,6.24748409950891
US,1986,2,134.72,1986-04-01,6.844317550955665
US,1986,3,136.76,1986-07-01,6.7936904575979895
US,1986,4,138.87,1986-10-01,7.260369197497482
US,1987,1,141.62,1987-01-01,7.312267939683267
US,1987,2,143.81,1987-04-01,6.74732779097387
US,1987,3,145.44,1987-07-01,6.346885054109379
US,1987,4,146.36,1987-10-01,5.393533520558805
US,1988,1,148.66,1988-01-01,4.9710492868238845
US,1988,2,151.62,1988-04-01,5.4307767192823775
US,1988,3,153.18,1988-07-01,5.3217821782178305
US,1988,4,154.6,1988-10-01,5.629953539218363
US,1989,1,156.39,1989-01-01,5.199784743710481
US,1989,2,158.55,1989-04-01,4.570637119113584
US,1989,3,161.91,1989-07-01,5.699177438307856
US,1989,4,163.26,1989-10-01,5.601552393272954
US,1990,1,164.17,1990-01-01,4.974742630602975
US,1990,2,164.85,1990-04-01,3.973509933774835
US,1990,3,165.84,1990-07-01,2.427274411710229
US,1990,4,165.19,1990-10-01,1.18216342031117
US,1991,1,166.56,1991-01-01,1.4558080038984116
US,1991,2,167.69,1991-04-01,1.7227782832878376
US,1991,3,167.98,1991-07-01,1.2904003859141255
US,1991,4,170.35,1991-10-01,3.1236757672982662
US,1992,1,171.66,1992-01-01,3.061959654178679
US,1992,2,171.63,1992-04-01,2.3495736179855555
US,1992,3,173.59,1992-07-01,3.3396832956304365
