stabbr,hpi_peak,hpi_trough,rpt_peak,rpt_trough,hpi_peak_val,hpi_trough_val,rpt_peak_val,rpt_trough_val,hpi_pch,rpt_pch,diff,rpt_peaklag,rpt_troughlag
IN,2005,2012,2005,2014,292.8708829956411,253.22039385,10048346.323383711,6468437.6061994275,-13.538556219749324,-35.62684447741819,-22.088288257668864,0,2
WY,2008,2012,2010,2013,314.9648183824154,281.122132875,1215682.7040443665,973000.7154058543,-10.744909758881462,-19.9626093084282,-9.217699549546737,2,1
ND,2009,2010,2009,2011,277.801082564027,277.11591789010396,866676.5063737514,829013.2761130137,-0.24663859031764446,-4.345707998746136,-4.099069408428491,0,1
OK,2008,2012,2010,2013,227.54792606403296,212.58959502500002,2616670.2018749546,2386312.684719916,-6.573705723348837,-8.8034600994033525,-2.2297543760545153,2,1
TX,2009,2012,2010,2012,252.59406841124647,234.00766777500002,43768263.07903527,42694787.27884,-7.35820945960856,-2.452635139431564,4.905574320176996,1,0
KS,2007,2012,2009,2012,271.17313231096887,245.72274464999998,4256639.505563216,4078588.79105,-9.385291029416422,-4.182893906813405,5.202397122603017,2,0
SD,2009,2012,2010,2010,328.6470718639144,311.27422565,1017681.1370423166,1017681.1370423166,-5.286171002645688,0,5.286171002645688,1,-2
WI,2006,2012,2010,2014,374.7008630958989,309.18536787500005,10894565.260277394,9583231.890603451,-17.48474627989613,-12.036582813039715,5.448163466856414,4,2
AL,2008,2012,2009,2014,340.81213276012056,294.01268865,2514254.8851356334,2317087.932055128,-13.731742391653711,-7.841963607037769,5.889778784615942,1,2
WV,2007,2012,2010,2012,248.70202350321088,221.34479485,1591030.304706115,1513580.5193200002,-11.000002439810345,-4.867901331421905,6.13210110838844,3,0
AK,2007,2012,2010,2010,319.61295468550674,296.81636467500005,1274656.642780593,1274656.642780593,-7.132561329667666,0,7.132561329667666,3,-2
IA,2006,2012,2010,2010,280.3635875224815,260.35798645,4658031.02090335,4658031.02090335,-7.1355917682703165,0,7.1355917682703165,4,-2
MT,2008,2012,2010,2012,423.60330229461937,365.1079823,1266164.580715646,1188431.40669,-13.808985831261396,-6.13926303180196,7.669722799459436,2,0
NE,2006,2012,2010,2012,291.31806864355974,264.792507075,3156563.487810715,3128311.52748,-9.105360917731105,-0.8950227182127577,8.210338199518347,4,0
DC,2007,2012,2010,2011,712.2233821812363,604.6515203,2048503.0982946446,1908069.8154659984,-15.103668957313587,-6.855409832943636,8.248259124369952,3,-1
AR,2007,2012,2009,2010,290.8650478118446,256.57739215000004,929509.831292961,897594.5424986215,-11.788166340296968,-3.43356118675419,8.354605153542778,2,-2
LA,2008,2012,2010,2010,276.403085642451,252.81533017499999,3728641.104984965,3728641.104984965,-8.533824943605595,0,8.533824943605595,2,-2
VT,2007,2012,2009,2012,520.2014462745141,463.29488762500006,461235.1302540027,451289.64749,-10.939331110487544,-2.156271738999081,8.783059371488463,2,0
KY,2006,2012,2010,2010,329.2281565157537,300.115118525,2730331.8302968503,2730331.8302968503,-8.842815359068666,0,8.842815359068666,4,-2
TN,2008,2012,2010,2012,340.22514061571763,295.614411025,5596943.241267728,5461211.43,-13.112120259538727,-2.4251060876755304,10.687014171863197,2,0
MO,2007,2012,2009,2014,339.2590750340548,284.38646955,6286343.399393678,5993066.128984347,-16.174248390716343,-4.665307823266815,11.508940567449528,2,2
NC,2008,2012,2010,2013,377.8151064563354,316.34678775000003,9706012.63955509,9252455.970984446,-16.26941793907315,-4.672945373285998,11.596472565787153,2,1
CO,2006,2012,2010,2013,413.8248497346627,349.882353575,7568967.095256427,7312692.584693387,-15.45158445672402,-3.3858584313789777,12.065726025345043,4,1
SC,2008,2012,2009,2012,383.04467283374356,319.34372945,5394082.540037264,5160624.53143,-16.630160370717974,-4.3280392332604265,12.302121137457547,1,0
MS,2008,2012,2010,2012,290.2268910718833,253.397774675,2725695.188650387,2720669.2118300004,-12.689767051172893,-0.1843924750395587,12.505374576133335,2,0
HI,2007,2012,2010,2013,615.549815617635,471.27702475,1535063.3514863334,1382488.017214782,-23.438036566199514,-9.939350980128566,13.498685586070948,3,1
ME,2006,2012,2009,2012,580.5992563059262,477.284145525,2570289.4226886597,2476173.83659,-17.7945647809249,-3.661672699886452,14.132892081038449,3,0
PA,2007,2012,2010,2010,447.7334799130792,383.99506894999996,17697855.11607654,17697855.11607654,-14.235792904174389,0,14.235792904174389,3,-2
OH,2005,2012,2007,2012,316.0541219238734,249.0638581,15239387.935760774,14361113.76658,-21.19582032852243,-5.763185325309635,15.432635003212795,2,0
GA,2007,2012,2009,2013,369.6813671646955,269.314394375,11690232.290055685,10445986.908178005,-27.14958926912358,-10.643461575490662,16.50612769363292,2,1
MN,2006,2012,2010,2014,428.41514871105977,310.842687225,7672320.790550313,6867709.52908272,-27.443581731362926,-10.487195249429618,16.956386481933308,4,2
VA,2007,2012,2010,2012,533.690980832018,414.63164965,12511379.171097402,11976440.90195,-22.30866465017,-4.275613917793848,18.033050732376154,3,0
DE,2007,2012,2010,2012,569.3224715399251,430.423838025,778432.4114390952,736731.93007,-24.397180940219485,-5.35698164109111,19.040199299128375,3,0
NY,2007,2012,2010,2010,730.1006647711303,590.739039175,49218526.24996618,49218526.24996618,-19.088001466183684,0,19.088001466183684,3,-2
NM,2008,2012,2010,2010,370.0999513334889,299.13025782499994,1409814.526402314,1409814.526402314,-19.175818114209832,0,19.175818114209832,2,-2
MI,2005,2012,2007,2013,379.6187224135367,242.866119125,14001724.714318147,11644174.267261453,-36.02367196725498,-16.837571764611724,19.186100202643253,2,1
FL,2007,2012,2008,2014,547.3722825898939,285.522236325,34015918.40438556,24336719.181980383,-47.837651739680624,-28.45491074895473,19.382740990725893,1,2
US,2007,2012,2010,2012,431.07263105688776,326.97639987499997,473243251.42460126,459611665.33752,-24.148188421674675,-2.8804607453029973,21.267727676371678,3,0
CT,2006,2012,2010,2012,540.337790677665,412.84195655,10129419.119031517,9985273.89546,-23.595579714638504,-1.4230354364614186,22.172544278177085,4,0
OR,2007,2012,2010,2013,513.3636575925965,362.89998815,5602049.276769085,5231525.891965453,-29.30937303746653,-6.614068646988542,22.695304390477986,3,1
UT,2008,2012,2009,2010,427.6223729101248,322.25595195,2748907.2446341543,2708691.230977328,-24.640062736443895,-1.462981835248442,23.177080901195453,1,-2
MA,2006,2012,2010,2010,846.5988649610321,635.6799273,14180175.696688136,14180175.696688136,-24.913680656864614,0,24.913680656864614,4,-2
IL,2007,2012,2010,2010,424.7757976118403,315.20572602500005,25996954.43584888,25996954.43584888,-25.794800975682065,0,25.794800975682065,3,-2
NH,2006,2012,2009,2010,539.5295045740169,396.42496407499993,3193846.019337046,3176982.120498601,-26.523950828602878,-0.5280122691057443,25.995938559497134,3,-2
NJ,2007,2012,2010,2010,658.4112159992648,484.056386575,27252995.094642542,27252995.094642542,-26.481145094050078,0,26.481145094050078,3,-2
NV,2006,2012,2009,2014,471.6746209783067,194.057270025,3656787.813545406,2497771.00892108,-58.857809728557534,-31.694942767286562,27.16286696127097,3,2
MD,2007,2012,2010,2014,608.3428035200761,428.09935497500004,8511039.460165022,8319338.912631284,-29.62859879366154,-2.2523752642784842,27.376223529383054,3,2
WA,2008,2012,2010,2010,558.454215315497,402.498271725,7519690.657264148,7519690.657264148,-27.92636160914107,0,27.92636160914107,2,-2
ID,2007,2012,2010,2012,382.58987572704274,269.75122775,1492181.027437597,1475479.11811,-29.493370090521438,-1.1192951136952871,28.37407497682615,3,0
RI,2006,2012,2010,2010,702.368292626063,471.33526919999997,2426353.030985652,2426353.030985652,-32.89343010662694,0,32.89343010662694,4,-2
AZ,2007,2012,2010,2014,484.81324231334725,248.912952025,7061848.739400056,6000583.143074831,-48.65797170941936,-15.02815531015446,33.6298163992649,3,2
CA,2006,2012,2009,2012,735.1611946566157,405.36019220000003,58590238.39885683,52403633.0146,-44.86104610168679,-10.559106010358093,34.301940091328696,3,0
